Player,Age,Team,Pos,G,MP,PTS,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK
PJ Washington,24,CHO,PF,73.0,32.6,15.7,0.444,0.348,0.518,0.73,4.9,2.4,0.9,1.1
Cameron Johnson,26,2TM,PF,42.0,28.5,15.5,0.47,0.404,0.548,0.842,4.4,1.9,1.2,0.3
Cameron Johnson,26,PHO,PF,17.0,25.2,13.9,0.474,0.455,0.5,0.818,3.8,1.5,0.9,0.4
Cameron Johnson,26,BRK,PF,25.0,30.8,16.6,0.468,0.372,0.572,0.851,4.8,2.1,1.4,0.3
DeAndre Hunter,25,ATL,SF,67.0,31.7,15.4,0.461,0.35,0.521,0.826,4.2,1.4,0.5,0.3
Scottie Barnes,21,TOR,SF,77.0,34.8,15.3,0.456,0.281,0.505,0.772,6.6,4.8,1.1,0.8
Skylar Mays,25,POR,PG,6.0,31.5,15.3,0.5,0.462,0.524,0.923,3.2,8.3,1.0,0.2
Wendell Carter Jr,23,ORL,C,57.0,29.6,15.2,0.525,0.356,0.624,0.738,8.7,2.3,0.5,0.6
Kevin Huerter,24,SAC,SG,75.0,29.4,15.2,0.485,0.402,0.604,0.725,3.3,2.9,1.1,0.3
Khris Middleton,31,MIL,SF,33.0,24.3,15.1,0.436,0.315,0.516,0.902,4.2,4.9,0.7,0.2
Harrison Barnes,30,SAC,PF,82.0,32.5,15.0,0.473,0.374,0.553,0.847,4.5,1.6,0.7,0.1
Malcolm Brogdon,30,BOS,PG,67.0,26.0,14.9,0.484,0.444,0.51,0.87,4.2,3.7,0.7,0.3
Immanuel Quickley,23,NYK,SG,81.0,28.9,14.9,0.448,0.37,0.521,0.819,4.2,3.4,1.0,0.2
Alperen engn,20,HOU,C,75.0,28.9,14.8,0.553,0.333,0.57,0.715,9.0,3.9,0.9,0.9
Tobias Harris,30,PHI,SF,74.0,32.9,14.7,0.501,0.389,0.57,0.876,5.7,2.5,0.9,0.5
Gordon Hayward,32,CHO,SF,50.0,31.5,14.7,0.475,0.325,0.532,0.811,4.3,4.1,0.8,0.2
Trey Murphy III,22,NOP,SF,79.0,31.0,14.5,0.484,0.406,0.611,0.905,3.6,1.4,1.1,0.5
Tim Hardaway Jr,30,DAL,SF,71.0,30.3,14.4,0.401,0.385,0.431,0.77,3.5,1.8,0.7,0.2
Jarrett Allen,24,CLE,C,68.0,32.6,14.3,0.644,0.1,0.653,0.733,9.8,1.7,0.8,1.2
Dillon Brooks,27,MEM,SF,73.0,30.3,14.3,0.396,0.326,0.451,0.779,3.3,2.6,0.9,0.2
Collin Sexton,24,UTA,PG,48.0,23.9,14.3,0.506,0.393,0.546,0.819,2.2,2.9,0.6,0.1
Bobby Portis,27,MIL,PF,70.0,26.0,14.1,0.496,0.37,0.555,0.768,9.6,1.5,0.4,0.2
Jonas Valaninas,30,NOP,C,79.0,24.9,14.1,0.547,0.349,0.577,0.826,10.2,1.8,0.3,0.7
Jalen Williams,21,OKC,SG,75.0,30.3,14.1,0.521,0.356,0.579,0.812,4.5,3.3,1.4,0.5
Bogdan Bogdanovi,30,ATL,SG,54.0,27.9,14.0,0.447,0.406,0.506,0.831,3.1,2.8,0.8,0.3
Markelle Fultz,24,ORL,PG,60.0,29.6,14.0,0.514,0.31,0.544,0.783,3.9,5.7,1.5,0.4
Chris Paul,37,PHO,PG,59.0,32.0,13.9,0.44,0.375,0.482,0.831,4.3,8.9,1.5,0.4
Saddiq Bey,23,2TM,SF,77.0,27.6,13.8,0.422,0.361,0.483,0.861,4.7,1.5,0.9,0.2
Saddiq Bey,23,DET,SF,52.0,28.8,14.8,0.404,0.345,0.46,0.861,4.7,1.6,1.0,0.2
Saddiq Bey,23,ATL,SF,25.0,25.2,11.6,0.47,0.4,0.552,0.862,4.8,1.4,0.8,0.0
Luguentz Dort,23,OKC,SF,74.0,30.7,13.7,0.388,0.33,0.44,0.772,4.6,2.1,1.0,0.3
Malik Monk,24,SAC,SG,77.0,22.3,13.5,0.448,0.359,0.538,0.889,2.6,3.9,0.6,0.3
Rudy Gobert,30,MIN,C,70.0,30.7,13.4,0.659,0.0,0.663,0.644,11.6,1.2,0.8,1.4
Jusuf Nurki,28,POR,C,52.0,26.8,13.3,0.519,0.361,0.567,0.661,9.1,2.9,0.8,0.8
Kris Dunn,28,UTA,PG,22.0,25.8,13.2,0.537,0.472,0.55,0.774,4.5,5.6,1.1,0.5
John Collins,25,ATL,PF,71.0,30.0,13.1,0.508,0.292,0.619,0.803,6.5,1.2,0.6,1.0
Cole Anthony,22,ORL,PG,60.0,25.9,13.0,0.454,0.364,0.5,0.894,4.8,3.9,0.6,0.5
Austin Reaves,24,LAL,SG,64.0,28.8,13.0,0.529,0.398,0.631,0.864,3.0,3.4,0.5,0.3
Tre Jones,23,SAS,PG,68.0,29.2,12.9,0.459,0.285,0.506,0.86,3.6,6.6,1.3,0.1
Alec Burks,31,DET,SG,51.0,22.0,12.8,0.436,0.414,0.459,0.814,3.1,2.2,0.7,0.2
Jabari Smith Jr,19,HOU,PF,79.0,31.0,12.8,0.408,0.307,0.487,0.786,7.2,1.3,0.5,0.9
